"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value","Flag and Footnotes"
"2015M12","Slovenia","Extra EU-28","Total","Total","Asylum applicant","Person","35",""
"2015M12","Slovenia","Extra EU-28","Total","Total","First time applicant","Person","35",""
"2015M12","Slovenia","Syria","Total","Total","Asylum applicant","Person","10",""
"2015M12","Slovenia","Syria","Total","Total","First time applicant","Person","10",""
"2015M12","Slovakia","Extra EU-28","Total","Total","Asylum applicant","Person","160",""
"2015M12","Slovakia","Extra EU-28","Total","Total","First time applicant","Person","160",""
"2015M12","Slovakia","Syria","Total","Total","Asylum applicant","Person","0",""
"2015M12","Slovakia","Syria","Total","Total","First time applicant","Person","0",""
"2015M12","Finland","Extra EU-28","Total","Total","Asylum applicant","Person","1 830",""
"2015M12","Finland","Extra EU-28","Total","Total","First time applicant","Person","1 785",""
"2015M12","Finland","Syria","Total","Total","Asylum applicant","Person","125",""
"2015M12","Finland","Syria","Total","Total","First time applicant","Person","125",""
"2015M12","Sweden","Extra EU-28","Total","Total","Asylum applicant","Person","13 830",""
"2015M12","Sweden","Extra EU-28","Total","Total","First time applicant","Person","13 275",""
"2015M12","Sweden","Syria","Total","Total","Asylum applicant","Person","3 090",""
"2015M12","Sweden","Syria","Total","Total","First time applicant","Person","3 045",""
"2015M12","United Kingdom","Extra EU-28","Total","Total","Asylum applicant","Person","3 395",""
"2015M12","United Kingdom","Extra EU-28","Total","Total","First time applicant","Person","3 375",""
"2015M12","United Kingdom","Syria","Total","Total","Asylum applicant","Person","185",""
"2015M12","United Kingdom","Syria","Total","Total","First time applicant","Person","185",""
"2015M12","Iceland","Extra EU-28","Total","Total","Asylum applicant","Person","35",""
"2015M12","Iceland","Extra EU-28","Total","Total","First time applicant","Person","35",""
"2015M12","Iceland","Syria","Total","Total","Asylum applicant","Person","0",""
"2015M12","Iceland","Syria","Total","Total","First time applicant","Person","0",""
"2015M12","Liechtenstein","Extra EU-28","Total","Total","Asylum applicant","Person","15",""
"2015M12","Liechtenstein","Extra EU-28","Total","Total","First time applicant","Person",":",""
"2015M12","Liechtenstein","Syria","Total","Total","Asylum applicant","Person","0",""
"2015M12","Liechtenstein","Syria","Total","Total","First time applicant","Person",":",""
"2015M12","Norway","Extra EU-28","Total","Total","Asylum applicant","Person","1 030",""
"2015M12","Norway","Extra EU-28","Total","Total","First time applicant","Person","1 005",""
"2015M12","Norway","Syria","Total","Total","Asylum applicant","Person","275",""
"2015M12","Norway","Syria","Total","Total","First time applicant","Person","270",""
"2015M12","Switzerland","Extra EU-28","Total","Total","Asylum applicant","Person","4 865",""
"2015M12","Switzerland","Extra EU-28","Total","Total","First time applicant","Person","4 760",""
"2015M12","Switzerland","Syria","Total","Total","Asylum applicant","Person","795",""
"2015M12","Switzerland","Syria","Total","Total","First time applicant","Person","795",""
"2015M12","Total","Extra EU-28","Total","Total","Asylum applicant","Person","114 720",""
